Status,Date,Time
Open,2022-04-28,09:15:02
Open,2022-04-28,10:25:02
Open,2022-04-28,12:20:01
Open,2022-04-28,13:00:02
Close,2022-04-28,13:45:02
Open,2022-04-28,13:50:02
Open,2022-04-28,16:10:03
Open,2022-04-28,20:20:02
Open,2022-04-29,05:50:03
Open,2022-04-29,08:50:03
Close,2022-04-29,11:00:03
Open,2022-04-29,11:05:02
Open,2022-04-29,11:55:02
Open,2022-04-29,12:20:02
Open,2022-04-29,16:55:02
Open,2022-04-29,17:15:01
Open,2022-04-29,17:35:02
Open,2022-04-29,18:20:02
Open,2022-04-30,01:10:03
Open,2022-04-30,01:25:02
Open,2022-04-30,11:35:02
Open,2022-04-30,12:20:02
Open,2022-04-30,16:55:01
Open,2022-04-30,17:35:03
Open,2022-02-15,09:55:14
Open,2022-02-15,10:55:15
Open,2022-02-15,11:30:08
Open,2022-02-16,07:45:06
Open,2022-02-16,08:00:05
Open,2022-02-16,09:55:05
Open,2022-02-17,09:05:06
Close,2022-02-17,09:55:05
Open,2022-02-17,10:05:05
Close,2022-02-17,10:20:05
Open,2022-02-17,13:05:07
Close,2022-02-17,14:00:05
Open,2022-02-17,14:25:05
Close,2022-02-18,08:45:05
Open,2022-02-18,10:10:07
Close,2022-02-18,10:15:07
Open,2022-02-18,10:40:06
Close,2022-02-18,10:45:07
Close,2022-02-18,10:55:11
Open,2022-02-18,11:00:10
Open,2022-02-18,11:40:08
Open,2022-02-18,11:50:06
Open,2022-02-18,12:05:05
Close,2022-02-18,13:25:05
Open,2022-02-18,13:40:06
Open,2022-02-21,09:30:15
Open,2022-02-21,10:05:15
Close,2022-02-21,10:10:08
Open,2022-02-21,10:15:09
Open,2022-02-21,11:15:07
Open,2022-02-21,14:25:08
Open,2022-02-21,14:50:16
Open,2022-02-21,15:00:13
Open,2022-02-21,16:05:13
Open,2022-02-23,14:05:10
Close,2022-02-23,14:45:11
Open,2022-02-23,14:50:10
Close,2022-02-23,16:45:16
Open,2022-02-23,17:45:10
Close,2022-02-24,08:00:11
Open,2022-02-24,08:05:11
Open,2022-02-24,09:00:13
Close,2022-02-24,09:50:12
Open,2022-02-24,09:55:13
Open,2022-02-24,11:30:19
Open,2022-02-24,11:40:14
Close,2022-02-24,12:15:18
Open,2022-02-24,12:40:17
Open,2022-02-24,12:45:11
Open,2022-02-24,12:50:15
Close,2022-02-24,13:30:18
Open,2022-02-24,13:35:20
Open,2022-02-24,13:40:15
Open,2022-02-24,14:00:23
Open,2022-02-25,09:00:06
Close,2022-02-25,09:40:09
Open,2022-02-25,09:45:08
Open,2022-02-25,12:05:07
Close,2022-02-25,12:45:08
Open,2022-02-25,14:50:08
Close,2022-02-28,08:55:05
Open,2022-02-28,09:00:09
Open,2022-02-28,09:15:08
Open,2022-02-28,10:10:09
Open,2022-02-28,11:00:10
Open,2022-02-28,12:00:08
